numAuto,surveyCode,stationCode,priority,location,fishing,mud,sand,latitude,longitude,beamSAR,otterSAR,dredgeSAR,totalSAR,poc_kgm2,totalProd_log10,preyProd_log10,mud_pc,sand_pc,gravel_pc,waterDepth,distCoast,,Area,Description,reasoning,Water Depth (m),SedimentDescription,Comments
1,CEND0723,MNCEA14,A,westDogger,medium/high,low,high,54.8235128,0.8634869,0.002392131,0.253090195,0,0.255482326,0.4455738,1.3479476,1.0592641,1.37799,98.60268,0.01933,68.0999985,98757.42188,,West of Dogger,transit to dogger bank,transit to dogger bank,72,Sandy mud,Evidence displacement of fishing effort
2,CEND0723,MNCEA13,A,westDogger,medium/high,high,medium/high,54.8190925,0.6619213,0.012637848,0.338023136,0,0.379614661,0.843439,1.3993232,1.1222446,13.39125,86.58007,0.02868,73.8000031,86797.6875,,West of Dogger,transit to dogger bank,transit to dogger bank,82,Sandy mud,Evidence displacement of fishing effort
3,CEND0723,SPT01,A,southDogger,high,low,high,54.2034079,2.6455599,0.165377756,0.953028371,0,1.158127044,0.2310889,2.0105712,1.4781498,3.46994,96.50676,0.02329,48.0999985,167854.5156,,South of Dogger,south of dogger bank,south of dogger bank,51,Muddy sand,Evidence displacement of fishing effort
4,CEND0723,TRAN066,A,southDogger,medium/high,low,high,54.265,2.642,0.069386911,0.610905853,0,0.692453375,0.1834864,1.8977698,1.5054933,1.25821,98.71911,0.02268,33,173083.1406,,Transect,south of dogger bank,south of dogger bank,36,Muddy sand,Evidence displacement of fishing effort
5,CEND0723,MDGRB064,B,Dogger,medium/high,low,high,55.42488,2.951133,0.278481792,0.19108208,0,0.497088291,0.1327759,1.6542124,1.4735696,0.35466,99.29826,0.34708,35,243777.8438,,Dogger Bank,Dogger Bank beam survey,Dogger Bank beam survey,36,SLIGHTLY MUDDY SAND,Link to Epifauna
6,CEND0723,MDGRB063,B,Dogger,high,low,high,55.18322,2.851033,0.104002364,0.458733981,0,1.378936369,0.0803969,1.6736012,1.3795813,0.43011,97.20483,2.36506,29,223485.4063,,Dogger Bank,Dogger Bank beam survey,Dogger Bank beam survey,29,SHELLY SAND,Link to Epifauna
7,CEND0723,MDGRB062,B,Dogger,medium/high,low,high,55.1758,2.460617,0.110119016,0.360194079,0,0.536474649,0.134091,1.5659519,1.3004346,0.55934,98.08775,1.35291,33.2999992,202124.2188,,Dogger Bank,Dogger Bank beam survey,Dogger Bank beam survey,36,"Slightly shelly muddy sand, clay deeper",Link to Epifauna
8,CEND0723,MDGRB061,B,Dogger,high,low,high,54.89215,1.897583,0.190096599,0.915268175,0,2.144470853,0.1221157,1.424682,1.2885277,0.30632,99.1566,0.53708,21,154786.0469,,Dogger Bank,Dogger Bank beam survey,Dogger Bank beam survey,23,SAND,Link to Epifauna
9,CEND0723,MDGRB060,B,Dogger,low,low,high,55.06688,1.897583,0.099630411,0,0,0.099630411,0.1009798,1.6766281,1.5414171,0.39972,98.87569,0.72458,30.5,166362.25,,Dogger Bank,Dogger Bank beam survey,Dogger Bank beam survey,34,GRAVEL,Link to Epifauna
10,CEND0723,MDGRB059,A,Dogger,low,low,high,54.7963,1.527921,0,0,0,0,0.1128867,1.4441912,1.2352504,0.5106,96.35233,3.13707,21.7000008,128938.3516,,Dogger Bank,Dogger Bank low pressure,Dogger Bank low pressure,28,SAND,3 stations high fishing effort
