Taxa ID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Acanthocephala,18814,Acanthocephala,Animalia,Acanthocephala,NA,NA,NA,NA,NA
Acari,292684,Acari,Animalia,Arthropoda,Arachnida,NA,NA,NA,NA
Aegialoalaimidae,2175,Aegialoalaimidae,Animalia,Nematoda,Chromadorea,Plectida,Aegialoalaimidae,NA,NA
Ameiridae,115135,Ameiridae,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,NA,NA
Ampharetidae,981,Ampharetidae,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,NA,NA
Amphinomidae,960,Amphinomidae,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,NA,NA
Amphipoda,1135,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA
Amphiuridae,123206,Amphiuridae,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,NA,NA
Ancorabolidae,115136,Ancorabolidae,Animalia,Arthropoda,Copepoda,Harpacticoida,Ancorabolidae,NA,NA
Animalia,2,Animalia,Animalia,NA,NA,NA,NA,NA,NA
Anticomidae,2195,Anticomidae,Animalia,Nematoda,Enoplea,Enoplida,Anticomidae,NA,NA
Aphroditidae,938,Aphroditidae,Animalia,Annelida,Polychaeta,Phyllodocida,Aphroditidae,NA,NA
Argestidae,115138,Argestidae,Animalia,Arthropoda,Copepoda,Harpacticoida,Argestidae,NA,NA
Ascidiacea,1839,Ascidiacea,Animalia,Chordata,Ascidiacea,NA,NA,NA,NA
Axinulus croulinensis,234161,Axinulus croulinensis,Animalia,Mollusca,Bivalvia,Lucinida,Thyasiridae,Axinulus,croulinensis
Axonolaimidae,2184,Axonolaimidae,Animalia,Nematoda,Chromadorea,Araeolaimida,Axonolaimidae,NA,NA
Bivalvia,105,Bivalvia,Animalia,Mollusca,Bivalvia,NA,NA,NA,NA
Canthocamptidae,115140,Canthocamptidae,Animalia,Arthropoda,Copepoda,Harpacticoida,Canthocamptidae,NA,NA
Canuellidae,115141,Canuellidae,Animalia,Arthropoda,Copepoda,Canuelloida,Canuellidae,NA,NA
Capitellidae,921,Capitellidae,Animalia,Annelida,Polychaeta,NA,Capitellidae,NA,NA
Catanema,227499,Catanema,Animalia,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Catanema,NA
Caudofoveata,151365,Caudofoveata,Animalia,Mollusca,Caudofoveata,NA,NA,NA,NA
