taxonID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Abludomelita obtusata,102788,Abludomelita obtusata,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,obtusata
Abra,138474,Abra,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,NA
Abra alba,141433,Abra alba,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,alba
Abra nitida,141435,Abra nitida,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,nitida
Abra prismatica,141436,Abra prismatica,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,prismatica
Abyssoninoe hibernica,146469,Abyssoninoe hibernica,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Abyssoninoe,hibernica
Acanthocardia,137732,Acanthocardia,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,NA
Achelia echinata,134599,Achelia echinata,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,echinata
Acidostoma obesum,102497,Acidostoma obesum,Animalia,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,obesum
Acidostoma obesum (sensu Stoddart & Lowry),102497,Acidostoma obesum,Animalia,Arthropoda,Malacostraca,Amphipoda,Acidostomatidae,Acidostoma,obesum
Acrocnida brachiata,236130,Acrocnida brachiata,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Acrocnida,brachiata
Acteon tornatilis,138691,Acteon tornatilis,Animalia,Mollusca,Gastropoda,NA,Acteonidae,Acteon,tornatilis
Actiniaria,1360,Actiniaria,Animalia,Cnidaria,Hexacorallia,Actiniaria,NA,NA,NA
Actinopterygii,10194,Actinopterygii,Animalia,Chordata,NA,NA,NA,NA,NA
Akanthophoreus gracilis,136340,Akanthophoreus gracilis,Animalia,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Akanthophoreus,gracilis
Alcyonidium parasiticum,111604,Alcyonidium parasiticum,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,parasiticum
Alcyonium digitatum,125333,Alcyonium digitatum,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Alcyoniidae,Alcyonium,digitatum
Alvania testae,141251,Alvania testae,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,testae
Amaeana trilobata,131471,Amaeana trilobata,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Amaeana,trilobata
Ammodytes marinus,126751,Ammodytes marinus,Animalia,Chordata,Teleostei,Perciformes,Ammodytidae,Ammodytes,marinus
Ampelisca,101445,Ampelisca,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,NA
Ampelisca diadema,101896,Ampelisca diadema,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,diadema
Ampelisca macrocephala,101908,Ampelisca macrocephala,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,macrocephala
Ampelisca sorbei,101925,Ampelisca sorbei,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,sorbei
Ampelisca spinifer,101926,Ampelisca spinifer,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,spinifer
Ampelisca spinipes,101928,Ampelisca spinipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,spinipes
Ampelisca tenuicornis,101930,Ampelisca tenuicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,tenuicornis
Ampelisca typica,101933,Ampelisca typica,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,typica
Ampharete,129155,Ampharete,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,NA
Ampharete falcata,129777,Ampharete falcata,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,falcata
Ampharete lindstroemi,129781,Ampharete lindstroemi,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,lindstroemi
Ampharete octocirrata,332932,Ampharete octocirrata,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,octocirrata
Ampharetidae,981,Ampharetidae,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,NA,NA
Amphiblestrum flemingii,111187,Amphiblestrum flemingii,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Calloporidae,Amphiblestrum,flemingii
Amphicteis gunneri,129784,Amphicteis gunneri,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis,gunneri
Amphictene auricoma,152448,Amphictene auricoma,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,Amphictene,auricoma
Amphipholis squamata,125064,Amphipholis squamata,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,squamata
Amphipoda,1135,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA
Amphiura chiajei,125073,Amphiura chiajei,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,chiajei
Amphiura filiformis,125080,Amphiura filiformis,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,filiformis
Amphiuridae,123206,Amphiuridae,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,NA,NA
Anapagurus chiroacanthus,107215,Anapagurus chiroacanthus,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Anapagurus,chiroacanthus
Anapagurus laevis,107218,Anapagurus laevis,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Anapagurus,laevis
Ancistrosyllis groenlandica,130695,Ancistrosyllis groenlandica,Animalia,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis,groenlandica
Animalia,2,Animalia,Animalia,NA,NA,NA,NA,NA,NA
Anobothrus gracilis,129789,Anobothrus gracilis,Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,gracilis
Anoplodactylus petiolatus,134723,Anoplodactylus petiolatus,Animalia,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Anoplodactylus,petiolatus
Antalis entalis,150534,Antalis entalis,Animalia,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis,entalis
Athecata,13551,Anthoathecata,Animalia,Cnidaria,Hydrozoa,Athecata,NA,NA,NA
Anthoathecata,13551,Anthoathecata,Animalia,Cnidaria,Hydrozoa,Anthoathecata,NA,NA,NA
Aonides oxycephala,131106,Aonides oxycephala,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aonides,oxycephala
Aonides paucibranchiata,131107,Aonides paucibranchiata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aonides,paucibranchiata
Aoridae,101368,Aoridae,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,NA,NA
"Aphelochaeta ""species A""",129240,Aphelochaeta,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,NA
Aphelochaeta,129240,Aphelochaeta,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,NA
