"taxonID"
"Paramphinome jeffreysii"
"Abyssoninoe hibernica"
"Lumbrineris cingulata"
"Lumbrineridae"
"Drilonereis"
"Hyalinoecia tubicola"
"Aphroditidae"
"Glycera alba"
"Glycera lapidum"
"Glycera unicornis"
"Glycera"
"Glycinde nordmanni"
"Goniada maculata"
"Goniada norvegica"
"Goniadidae"
"Oxydromus flexuosus"
"Podarkeopsis capensis"
"Nephtys assimilis"
"Nephtys caeca"
"Nephtys cirrosa"
"Nephtys hombergii"
"Nephtys kersivalensis"
"Nephtys"
"Ceratocephale loveni"
"Eunereis longissima"
"Nereis zonata"
"Eteone longa"
"Phyllodoce groenlandica"
"Phyllodoce"
"Glyphohesione klatti"
"Gattyana cirrhosa"
"Harmothoe glabra"
"Harmothoe"
"Malmgrenia andreapolis"
"Malmgrenia arenicolae"
"Malmgrenia darbouxi"
"Malmgrenia marphysae"
"Malmgrenia mcintoshi"
"Polynoidae"
"Pholoe baltica"
"Pholoe pallida"
"Sigalion mathildae"
"Sthenelais boa"
"Sthenelais limicola"
"Sphaerodorum gracilis"
"Exogone verugera"
"Claviramus candelus"
"Euchone pseudolimnicola"
"Euchone"
"Jasmineira caudata"
"Ditrupa arietina"
"Serpulidae"
"Apistobranchus tullbergi"
"Poecilochaetus serpens"
"Dipolydora flava"
"Dipolydora"
"Laonice bahusiensis"
"Laonice irinae"
"Laonice sarsi"
"Prionospio cirrifera"
"Prionospio fallax"
"Prionospio multibranchiata"
"Pseudopolydora nordica"
"Pseudopolydora paucibranchiata"
"Pseudopolydora"
"Scolelepis bonnieri"
"Scolelepis korsuni"
"Scolelepis (Parascolelepis) tridentata"
"Scolelepis"
"Spio decorata"
"Spio symphyta"
"Spiophanes bombyx"
"Spiophanes kroyeri"
"Spiophanes wigleyi"
"Spiophanes"
"Ampharete falcata"
"Ampharete lindstroemi"
"Amphicteis gunneri"
"Anobothrus gracilis"
"Eclysippe vanelli"
"Samytha sexcirrata"
"Sosane wahrbergi"
"Ampharetidae"
"Aphelochaeta marioni"
"Aphelochaeta ""species A"""
"Chaetozone christiei"
"Chaetozone setosa"
"Cirratulus caudatus"
"Tharyx killariensis"
"Diplocirrus glaucus"
"Amphictene auricoma"
"Lagis koreni"
"Amaeana trilobata"
"Lanice conchilega"
"Nicolea venustula"
"Parathelepus collaris"
"Pista bansei"
